description	التصنيف
تصنيع وتوريد قاعده خشبيه لتخزين عباره عن اللوح من الكاونتر وحشوات من الخشب الموسكي عرض 40 * 100 والسعر يشمل كل ما يلزم لتسليم البند	كهرباء وإضاءة
الطولى - توريد وتركيب وحدات ارفف للتخزين من الهياكل المعدنية قطاع 3*40*40 مم	نجارة وأثاث
توريد وتركيب رخام ستار جلاكسي فرز اول للكاونتر والسعر يشمل اللصق بمادة لصق الرخام وكل ما يلزم لانتهاء من البند.	نجارة وأثاث
توريد وتركيب سيرميك للأرضيات المخزن فرز تاني والسعر يشمل التشوين والخامات المستخدمه وكل ما يلزم للبند	صيانة عامة
أعمال صيانات وحدات التخزين الموجود بالفرع بالكامل	نجارة وأثاث
أعمال فك وتشوين الرخام والكاونتر السابق وتجهيز مكان الجديد	نجارة وأثاث
اعادة دهان الخشب الصنوبر للفرع بالكامل بالسلير والبولي يروثيان ودهان الوحدات بالوان الاسود	نجارة وأثاث
تعديل لباب المخزن بعد تركيب الارضيات	أبواب ونوافذ
توريد ودهان الفرع بالكامل مرمات + طبقة نظافة نهائية	دهانات وترميمات
توريد ودهان المخزن بالكامل مرمات + طبقة نظافة نهائية	دهانات وترميمات
توريد وتركيب كشاف سبوت 3 وات وارم لديكورات الخشب خارج الفرع	كهرباء وإضاءة
توريد وتركيب بريزه قوه+بريزه عاده (طقم) والسعر يشمل الاكسسوارات والتوصيل وكل ما يلزم لانتهاء البند	صيانة عامة
توريد وتركيب خلاط حوض هندمكسر ايطالي	سباكة ومياه
توريد وتركيب دليه ديكور اعلي الوارمر والكاشير والسعر يشمل المبات والتوصيل وكل ما يلزم لحين انتهاء الاعمال	صيانة عامة
توريد وتركيب صرف حوض 3 بوصه بالمصفه استانلس	سباكة ومياه
توريد وتركيب طقم بريزه عاده ومفتاح اناره (طقم)	صيانة عامة
توريد وتركيب عتبة رخام دبل بلاك 80*20	رخام وأرضيات
توريد وتركيب عود قناة كهربائية 2.5*2.5 سم لتجميع مسارات الكابلات الخاصه بالكاميرات	صيانة عامة
توريد وتركيب فلتر تانك 5 مرحله	صيانة عامة
توريد وتركيب كبل نت كات 6 بريميم لاين	صيانة عامة
توريد وتركيب ليد بروفايل وارم للارفف والسعر يشمل التوصيل والمحول 20 امبير وكل ما يلزم لانتهاء البند	كهرباء وإضاءة
توريد وتركيب مفصلة للادراف (نص ركبه باكم)	نجارة وأثاث
توريد وتركيب مقبض اباب المخزن الرئيسي	أبواب ونوافذ
توريد وتركيب هيدر (لافته اعلي وحدات العرض) من الخشب البتش باين والأكريليك الشفاف	نجارة وأثاث
توريد وتركيب وحدات تخزين سفلية من الخشب الكونتتر قشرة PVC اسود و الدرف من الخشب الكونتتر قشرة PVC اسود ومثبت عليه شرائح من الخشب الصنوبر. ارتفاع 90 سم.	نجارة وأثاث
توريد وتغيير قضيب الألمونيوم وطقم عجل بالدليل للوحدات التخزين	نجارة وأثاث
توريد وتغيير ليد اللافتة ابيض ماركه سامسونج هاي باور	كهرباء وإضاءة
توريد وتغيير محبس زاويه اسمارت للباريستا	سباكة ومياه
وحدات ارفف اماميه من الخشب الكونتتر دهان اسود تشمل مرايات من قطاعات خشب الخشب الصنوبر دهان باللون المطلوب من البولي يوريثان بعد التجهيز بالسيلر	نجارة وأثاث
توريد وتركيب مقبض الباب الزجاج	أبواب ونوافذ
تثبيت رف خشبي في المخزن	نجارة وأثاث
الباركية وتقفيل الحامات فوم وتركيب فرمه ستانلس ستيل	صيانة عامة
تغير مكان 2 لوحة الاسعار	صيانة عامة
تقفيل الصرف بالرخام (20×20)	سباكة ومياه
توريد وتركيب عود قناة كهربائية للأسلاك 50 سم	صيانة عامة
صيانة الصيانة الباب الشطر وعمل ما يلزم	أبواب ونوافذ
توريد وتركيب قطع خشب بالمجرى (5.5×840)	نجارة وأثاث
توريد وتغيير ليد الكاشير +البارسته	كهرباء وإضاءة
توريد وتغيير لاصق شريط اسود	صيانة عامة
توصيل لخط التليفون الأرضي	صيانة عامة
تقفيل اللافتة بالسيليكون	لافتات وعلامات
توريد وتركيب سقف الوجها وتثبيت	صيانة عامة
تقفيل سيليكون عند برايز الوارمر	صيانة عامة
تنظيف وصيانة لافتتين	لافتات وعلامات
صيانة درف الكاونتر+الوارم+الحديد باكامل	نجارة وأثاث
كاوتش بجوار فاتحة الكاونتر	نجارة وأثاث
توريد وتركيب قفل باب سيكوريت	أبواب ونوافذ
توريد وتركيب عجلات سوستة	ترولي ومعدات
توريد وتركيب قفل باب الشطر	أبواب ونوافذ
توريد وتركيب قضيب سوستة للستائر	صيانة عامة
صيانة باب الفرع فتح وقفل	أبواب ونوافذ
دهان الخشب + باب المخزن اسود	أبواب ونوافذ
توريد وتركيب 2قطعة رخام جلاكسي2(207×23)+(95*23)	رخام وأرضيات
توريد وتركيب قطعة 2 رخام جلاكسي (140×24)	رخام وأرضيات
توريد وتغيير ليد بروفيل وارم 220 وات	كهرباء وإضاءة
صيانة وتثبيت الكشاف موجه للإضاءة	كهرباء وإضاءة
لحام واحد بوله بن	صيانة عامة
توريد وتركيب اكليريك	صيانة عامة
توريد وتركيب هدر (لافتات اعلانيه)	صيانة عامة
توريد وتركيب رخام جلاكسي 2(23×2.12)+(10×1.62)	رخام وأرضيات
توريد وتركيب قطعة رخام (23×128)	رخام وأرضيات
توريد وتغيير ليد بروفيل 220	كهرباء وإضاءة
توريد وتركيب 3قطعة رخام جلاكسي (170×23) *3	رخام وأرضيات
توريد وتركيب 4 زاوية (3×3)	صيانة عامة
توريد وتركيب شريط لاصق اسود	صيانة عامة
توريد وتركيب مفتاح 2 فاز اشنيدر 40 امبير للتكييفات	تكييف وتهوية
توريد وتغيير ليد بروفيل وارم 220 وات	كهرباء وإضاءة
توريد وتركيب شريط اسود لاصق	صيانة عامة
توريد وتركيب شريط بلاستك اسفل باب الفرع	أبواب ونوافذ
تقفيل فاتحة المخزن بالفوم+السيليكون	صيانة عامة
تقفيل قاتحة في السقف	صيانة عامة
توريد وتركيب قطعة رخام جلاكسي (9 سم×12م)	رخام وأرضيات
صيانة الصيانة ليد الوارم + ليد ورق الشجر	كهرباء وإضاءة
تلميع رخام + تقفيل لحامات بالسيليكون	رخام وأرضيات
توريد وتركيب قفل الباب الصاج	أبواب ونوافذ
دهان الفرع حوائط وسقف وخشب واستندات (فرع كامل)	نجارة وأثاث
توريد وتركيب عود فرش باب الزجاج	أبواب ونوافذ
توريد وتركيب قفل تركي	نجارة وأثاث
مرامات بالمعجون +الدهان المخزن بالكامل	دهانات وترميمات
توريد وتركيب زنبلك لباب الفرع + باب المخزن	أبواب ونوافذ
توريد وتركيب قطع الكاونتر(17×19)	نجارة وأثاث
توريد وتركيب الواح خشب طوب تم تصنيعه مطابقه الموصفات	نجارة وأثاث
تقفيل علبة خشب +معجون+دهان +طبقة نظافة نهائية	نجارة وأثاث
صيانة الباب الزجاج + تثبيت الوجها الزجاج	أبواب ونوافذ
توريد وتركيب قلب قفل باب الفرع	أبواب ونوافذ
توريد وتغيير ليد دبل وارم	كهرباء وإضاءة
توريد وتركيب قطعة رخام جلاكسي (141×23)	رخام وأرضيات
و تركيب لوحة اسعار 2(120×48)	صيانة عامة
دهان سيلر للخشب الوجهه البتش باين	نجارة وأثاث
سنفرة الواجها خشب الصنوبر	نجارة وأثاث
كشاف كشاف موجه	كهرباء وإضاءة
توريد وتركيب لوحة خشب للوحة الكهرباء +درف+حلق	كهرباء وإضاءة
صيانة درف الفرع بالكامل + 2تركيب مفصلة	نجارة وأثاث
توريد وتركيب كشاف موجه 30 وات شواب	كهرباء وإضاءة
تطويل السماعات	صيانة عامة
توريد وتغيير مفصلة الباب السفلي	أبواب ونوافذ
بالعداد -تم توريد وتركيب زوية 3*3 تثبيت رف الوارم	صيانة عامة
مرجعة علي السباكة صرف +عازل السقف للفرع والمخزن	سباكة ومياه
تثبيت تلميع عتبة باب الفرع	أبواب ونوافذ
حرف ليد في اللافتة	كهرباء وإضاءة
دهان جمع درف الفرع بالكامل بالون الأسود لاكيا	نجارة وأثاث
توريد وتركيب محول ليد اللافتة A25	كهرباء وإضاءة
توريد وتركيب طقم كعب ستانلس ستيل 10 سم	صيانة عامة
توريد وتركيب طقم مقبض لباب المخزن	أبواب ونوافذ
توريد وتركيب كشاف موفر للطاقة 30 وات وارم	كهرباء وإضاءة
توريد وتركيب وجه قفل باب المخزن	أبواب ونوافذ
توريد وتركيب محول مروحة A20	كهرباء وإضاءة
صيانة الطولي -تم عمل لحام شريط اسود لحلق اعلي الباب+لحام ارفف	أبواب ونوافذ
تجميع باب المخزن واعادة تركيبه	أبواب ونوافذ
دهان بالون الاسود (3×4)متر	دهانات وترميمات
دهان سقف الفرع باللون الابيض طبقة نظافة نهائية	دهانات وترميمات
فك وحدات واستراد التالف وإعادة تجميعها	نجارة وأثاث
توريد وتركيب طقم عجل للدرف الخشب	نجارة وأثاث
الطولي ـ تم توريد وتركيب ليد بروفيل m120	كهرباء وإضاءة
توريد وتركيب ابلكاش للجزيرة (60×30) MDf	صيانة عامة
توريد وتركيب تقوية داخل الخزنة للارفف(36×10)	نجارة وأثاث
توريد وتركيب قرصة خشاب للجزيرة (30×60)كاونتر	نجارة وأثاث
توريد وتركيب مجرى معدنية للدرف 70م+2عود	نجارة وأثاث
تجليدة ابلكاش اسود (40×70) MDf	كهرباء وإضاءة
توريد وتركيب بريزه / مفتاح ليجرند والسعر يشمل الاكسسوارات وكافة ما يلزم من مواد و معدات	صيانة عامة
توريد وتركيب كشاف 120 وتربروف سويدي والسعر يشمل اللمبات والتوصيل وكافة .	كهرباء وإضاءة
توريد وتركيب وحدات ارفف للتخزين مصنعه من الهياكل المعدنية قطاع زاويه.	نجارة وأثاث
توريد وتركيب كابل نت كات 6 بريميم لاين لتوصيل كامره بالمخزن	صيانة عامة
توريد وتركيب لوحه كهرباء وتشمل قاطع رئسي 3*32 ايرث ليكدج شنايدر 25.	كهرباء وإضاءة
بالمنر المسطح توريد وتنفيذ اعمال غلق الفواصل للحوائط اعلي السيراميك بالمخزن 3.00	رخام وأرضيات
توريد وتركيب محتويات الكهرباء	كهرباء وإضاءة
توريد وتركيب وحده خشب 2درف (50×200)	نجارة وأثاث
توريد وتركيب كشاف موجه مروحة	كهرباء وإضاءة
توريد وتركيب عود فرش	صيانة عامة
توريد وتركيب كشاف موفر للطاقة 30 وات	كهرباء وإضاءة
توريد وتركيب لمبة ديكور 12 وات	كهرباء وإضاءة
صيانة باب اخر	أبواب ونوافذ
توريد وتركيب ماكينة زجاج	أبواب ونوافذ
توريد وتركيب مفصلة علوي + سفلي	نجارة وأثاث
توريد وتركيب 2 سلسلة لدرف الترولي (1 متر)	نجارة وأثاث
توريد وتركيب عود حديد (2×2)سم لدرف باب الترولي	أبواب ونوافذ
توريد وتركيب قطعة اكريليك لليافطه من الخارج للفرع	لافتات وعلامات
برواز داخلي لتقوية الدرف من الداخل	نجارة وأثاث
فك مكان اللحام بنفس لون الترولي	ترولي ومعدات
لحام عجلة الترولي وتقوية الباقي	ترولي ومعدات
ستارة الهواء	صيانة عامة
ترولي كامل	ترولي ومعدات
توريد وتركيب طقم مفصلة فراشة لباب المخزن	أبواب ونوافذ
توريد وتركيب مفصلات لدرف الترولي 4 بوصة	نجارة وأثاث
توريد وتركيب طبلية خشب (30×75)سم	نجارة وأثاث
توريد وتركيب طبلية خشب (50×100)سم	نجارة وأثاث
توريد وتركيب طبلية خشب (50×40)سم	نجارة وأثاث
توريد وتركيب طبلية خشب (55×30)سم	نجارة وأثاث
توريد وتركيب طبلية خشب (80×70)سم	نجارة وأثاث
صيانة الدهانات حول 2 باب معدني	أبواب ونوافذ
مرامات الدهانات للفرع ومدخل المخزن	دهانات وترميمات
توريد وتركيب مفصلة لادراف الوحدات الخشبية	نجارة وأثاث
وتثبيت 2باب معدني خلف الفرع والعلوي	أبواب ونوافذ
توريد وتركيب bكرة ليد 120 بروفايل	كهرباء وإضاءة
لمبة ديكور	كهرباء وإضاءة
لوحة الكهرباء للفرع	كهرباء وإضاءة
توريد وتركيب محول توصيل 20 امبير	كهرباء وإضاءة
توريد وتركيب كشاف موفر للطاقة 30 وات	كهرباء وإضاءة
توريد وتركيب لمبة كاسه 5 وات	كهرباء وإضاءة
فك 2 لافته مضيئ وعمل صيانة+ نظافة وإعادة التركيب	لافتات وعلامات
مقطوعيه ـ تم توريد وتركيب ليد هاي باور 3 عدسه	كهرباء وإضاءة
توريد وتركيب عجلة سوستة	ترولي ومعدات
توريد وتركيب مفصلة ركبة لدرف الجزيره	نجارة وأثاث
توريد وتركيب مفصلة نص ركبة	نجارة وأثاث
توريد وتركيب 2 عود مجرى معدنية سوستة	نجارة وأثاث
توريد وتركيب كشاف موجه مروحة 30 وات	كهرباء وإضاءة
دهان المخزن طبقة نظافة نهائية+ مرمات	دهانات وترميمات
ليد الكاشير	كهرباء وإضاءة
ديكور الوحدات وتكميل الخشب الصنوبر	نجارة وأثاث
فلتر مياه	سباكة ومياه
وحدات التخزين وتركيب الخشب الصنوبر	نجارة وأثاث
توريد وتركيب لمبة إضاءة ديكورية	كهرباء وإضاءة
تصنيع وتوريد ترولي لنقل المنتجات مصنع من المعدن دهان اسود الكتروستتك واضافه غطاء من القماش بناء علي طلب مول اجورا	دهانات وترميمات
توريد وتركيب قفل باب شطر	أبواب ونوافذ
فك الباب الشطر وتم الصيانة اللازمة وإعادة تركب	أبواب ونوافذ
تصنيع وتوريد وتركيب استاند تخزين مصنوع بالكامل من استانلس	نجارة وأثاث
توريد وتركيب محول توصيل 30 وات مروحة	كهرباء وإضاءة
توريد وتركيب كشاف موفر للطاقة 30 وات ابيض للمخزن	كهرباء وإضاءة
توريد وتركيب كشاف موفر للطاقة 30 وات وارم	كهرباء وإضاءة
توريد وتركيب بواط مانع مائي(10×10)	صيانة عامة
توريد وتركيب عود قناة كهربائية 1.5*1.5	صيانة عامة
توريد وتركيب سلك كاميرات	صيانة عامة
توريد وتركيب وحده خشبيه مقاس (عمق62)(عرض138)(ارتفاع 90)	نجارة وأثاث
توريد وتركيب نظام مصيدة شحوم سعة 20 جالونًا في الدقيقة، يتميز بخزان من الفولاذ المقاوم للصدأ	صيانة عامة
توريد وتركيب حامل زجاج سيكوريت	أبواب ونوافذ
توريد وتركيب زر استيل للفواصل	صيانة عامة
توريد وتركيب كشاف إضاءة علوية وسفلية 15 وات وارم	كهرباء وإضاءة
توريد وتركيب كشاف لوحة إضاءة 22 وات ابيض	كهرباء وإضاءة
توريد وتركيب ماكينه غلق أوتوماتيك للباب الزجاج	أبواب ونوافذ
توريد وتركيب مفصله علوي وسفلي	صيانة عامة
توريد وتركيب نهايه باب سيكوريت	أبواب ونوافذ
ليد 3 لافته مضئه	كهرباء وإضاءة
ولازق الحوض بالسليكون	سباكة ومياه
ولازق الزجاج بالسليكون	أبواب ونوافذ
نقل وصيانة الترولي وتركيب عجل وتوريد مره اخره للفرع	ترولي ومعدات
