description	التصنيف
توريد وتركيب لوحة EXIT مضياه والسعر يشمل التوصيلات	صيانة عامة
فك الميزان المعلق اعلي الفرع وترميم و دهان مكانه	دهانات وترميمات
توريد وتركيب كشاف كشاف موجه 30 وات وارم ماركه الصفا	كهرباء وإضاءة
توريد وتركيب وحدة الرفف (١٠٨×٣٠×٩٠) ٤ ارفف	نجارة وأثاث
توريد وتسليم الفرع كشاف موفر للطاقة 30 وات	كهرباء وإضاءة
توريد وتركيب كشاف كشاف موجه للإضاءة	كهرباء وإضاءة
صيان وتغير مقبض الباب الزجاج	أبواب ونوافذ
صيانة الباب الزجاجي وتغيير المفصلة	أبواب ونوافذ
توريد وتركيب فلتر مياه 5 مرحله تانك	سباكة ومياه
توريد وتركيب قطعه نيكل طبه للسقف اعلي السلم	صيانة عامة
توريد وتركيب لمبة إضاءة ديكورية	كهرباء وإضاءة
توريد وتركيب مفتاح للوحة الكهرباء	كهرباء وإضاءة
توريد وتركيب مقبض للأدراج الخشبية	نجارة وأثاث
تثبيت رخامة الوارمر بالسيليكون العضم	رخام وأرضيات
فك الوحده اعلي الباب وإعادة تركبها بعد عمل الصيانة	أبواب ونوافذ
توريد وتركيب لوحة (EXlT) خروج	صيانة عامة
توريد وتركيب مفصلات الدرف بوحدات الكاونتر	نجارة وأثاث
توريد وتركيب طفاية حريق ٦ كيلو CO2 بافاريا فينكس	أنظمة الحريق والسلامة
توريد وتركيب طفاية حريق ٦ كيلو بودره بافاريا	أنظمة الحريق والسلامة
توريد وتركيب طقم مجرى للدرج 2 مرحلة	نجارة وأثاث
توريد وتركيب مجرى الألمونيوم للدرف الجرار	نجارة وأثاث
توريد وتركيب 2 وحدة رفع الباب الخارجي وعمل ما يلزم البند	أبواب ونوافذ
فحص ومراجعة شبكة الكهرباء بالفرع	كهرباء وإضاءة
توريد وتركيب زوايا معدنية للتثبيت	صيانة عامة
تثبيت وتقوية السلم الحديدي	صيانة عامة
دهان الوجه الخارجية بالكامل	دهانات وترميمات
صنفرة الارفف الفرع بالكامل + دهان سيلر	نجارة وأثاث
صيانة وتثبيت أرفف المخزن	صيانة عامة
فك الباب الزجاج وتركيبه وعمل الصيانة اللازمة للباب	أبواب ونوافذ
توريد وتركيب طقم شمع فلتر مياه 5 مرحله تانك	سباكة ومياه
المراجعة علي درف الفرع بالكامل + الجزيرة	نجارة وأثاث
توريد وتركيب حنفية فلتر مياه	سباكة ومياه
توريد وتركيب خلاط خلاط يدوي ايطالي	سباكة ومياه
توريد وتركيب كشاف 30 وات فاكتوري	كهرباء وإضاءة
لاصق رخام الوحدات بالكامل	رخام وأرضيات
توريد وتركيب وحدة حوض (88×120) عمق 53	سباكة ومياه
تثبيت استندات المخزن والمراجعة عليه بالكامل	صيانة عامة
تثبيت وزة الرخام بجانب باب السكريت	أبواب ونوافذ
أعمال دهان المخزن بالكامل طبقة نظافة نهائية	دهانات وترميمات
